lat,long
54.97560,-1.55450
54.97717,-1.55563
54.97755,-1.55591
54.97776,-1.55606
54.97772,-1.55633
54.97741,-1.55841
54.97706,-1.56071
54.97673,-1.56504
54.97659,-1.56827
54.97639,-1.57150
54.97622,-1.57223
54.97632,-1.57237
54.97645,-1.57266
54.97651,-1.57283
54.97659,-1.57317
54.97665,-1.57363
54.97647,-1.57480
54.97630,-1.57557
54.97623,-1.57684
54.97625,-1.57712
54.97643,-1.57715
54.97648,-1.57735
54.97640,-1.57805
54.97642,-1.57830
54.97649,-1.57843
54.97645,-1.57860
54.97638,-1.57915
54.97623,-1.58039
54.97615,-1.58146
54.97643,-1.58161
54.97612,-1.58456
54.97598,-1.58532
54.97601,-1.58550
54.97598,-1.58587
54.97584,-1.58598
54.97553,-1.58609
54.97542,-1.58631
54.97553,-1.58675
54.97552,-1.58689
54.97545,-1.58697
54.97543,-1.58714
54.97526,-1.58727
54.97486,-1.58750
54.97438,-1.58857
54.97428,-1.58883
54.97428,-1.58906
54.97472,-1.59025
54.97476,-1.59035
54.97491,-1.59044
54.97486,-1.59075
54.97508,-1.59126
54.97529,-1.59166
54.97495,-1.59206
54.97478,-1.59221
54.97465,-1.59223
54.97492,-1.59220
54.97520,-1.59225
54.97537,-1.59240
54.97543,-1.59295
54.97537,-1.59352
54.97547,-1.59377
54.97557,-1.59402
54.97603,-1.59501
54.97674,-1.59618
54.97687,-1.59664
54.97695,-1.59672
54.97683,-1.59745
54.97678,-1.59771
54.97683,-1.59745
54.97727,-1.59581
54.97730,-1.59580
54.97735,-1.59586
54.97774,-1.59649
54.97835,-1.59694
54.97840,-1.59699
54.97841,-1.59699
54.97842,-1.59696
54.97841,-1.59669
54.97865,-1.59629
54.97870,-1.59570
54.97876,-1.59541
54.97905,-1.59490
54.97919,-1.59467
54.97928,-1.59470
54.97938,-1.59382
54.98012,-1.59127
54.98024,-1.59083
54.98044,-1.59103
54.98074,-1.59134
54.98092,-1.59125
54.98128,-1.59101
54.98174,-1.59074
54.98212,-1.59047
54.98260,-1.58993
54.98299,-1.58962
54.98319,-1.58930
54.98332,-1.58897
54.98356,-1.58815
54.98371,-1.58796
54.98407,-1.58781
54.98469,-1.58793
54.98532,-1.58735
54.98563,-1.58702
54.98593,-1.58682
54.98649,-1.58696
54.98704,-1.58705
54.98805,-1.58747
54.98830,-1.58759
54.98859,-1.58796
54.98907,-1.58887
54.99025,-1.59151
54.99045,-1.59225
54.99031,-1.59171
54.99004,-1.59091
54.99061,-1.59151
54.99093,-1.59181
54.99150,-1.59215
54.99213,-1.59229
54.99266,-1.59195
54.99311,-1.59173
54.99370,-1.59164
54.99389,-1.59158
54.99460,-1.59190
54.99504,-1.59214
54.99504,-1.59215
54.99504,-1.59216
54.99504,-1.59218
54.99506,-1.59221
54.99508,-1.59221
54.99509,-1.59219
54.99718,-1.59334
54.99729,-1.59335
54.99742,-1.59343
54.99753,-1.59352
54.99751,-1.59370
54.99753,-1.59393
54.99767,-1.59434
54.99785,-1.59491
54.99806,-1.59508
54.99814,-1.59539
54.99819,-1.59600
54.99853,-1.59679
54.99894,-1.59716
54.99924,-1.59773
54.99934,-1.59813
54.99946,-1.59824
54.99973,-1.59962
54.99978,-1.60063
54.99978,-1.60129
54.99994,-1.60138
55.00030,-1.60155
55.00068,-1.60168
55.00092,-1.60173
55.00121,-1.60183
55.00150,-1.60179
55.00175,-1.60190
55.00170,-1.60244
55.00155,-1.60330
55.00133,-1.60386
55.00123,-1.60400
55.00119,-1.60483
55.00117,-1.60576
55.00098,-1.60585
55.00047,-1.60608
54.99996,-1.60628
54.99925,-1.60637
54.99892,-1.60643
54.99881,-1.60658
54.99878,-1.60708
54.99824,-1.60718
54.99759,-1.60730
54.99746,-1.60535
54.99674,-1.60530
54.99608,-1.60530
54.99591,-1.60534
54.99547,-1.60537
54.99526,-1.60528
54.99521,-1.60552
54.99500,-1.60562
54.99505,-1.60610
54.99553,-1.60597
54.99604,-1.60583
54.99619,-1.60827
54.99628,-1.61045
54.99642,-1.61080
54.99660,-1.61090
54.99745,-1.61110
54.99794,-1.61132
54.99768,-1.61193
54.99810,-1.61332
54.99899,-1.61604
54.99928,-1.61557
54.99935,-1.61546
54.99942,-1.61614
54.99956,-1.61626
54.99970,-1.61644
55.00003,-1.61663
55.00013,-1.61670
55.00022,-1.61654
55.00050,-1.61626
55.00105,-1.61585
55.00162,-1.61565
55.00202,-1.61571
55.00302,-1.61592
55.00432,-1.61623
55.00497,-1.61644
55.00504,-1.61686
55.00500,-1.61732
55.00494,-1.61762
55.00553,-1.61783
55.00553,-1.61782
55.00553,-1.61781
55.00553,-1.61780
55.00554,-1.61779
55.00555,-1.61778
55.00556,-1.61777
55.00554,-1.61780
55.00553,-1.61782
55.00553,-1.61783
55.00494,-1.61762
55.00491,-1.61803
55.00487,-1.61842
55.00484,-1.61862
55.00485,-1.61874
55.00482,-1.61914
55.00494,-1.61907
55.00506,-1.61902
55.00536,-1.61908
55.00552,-1.61911
55.00541,-1.61941
55.00552,-1.61911
55.00545,-1.61909
55.00513,-1.61903
55.00482,-1.61914
55.00483,-1.62016
55.00564,-1.62004
55.00633,-1.61980
